source,artifact_path,sample_file,sample_group,file_count,rows
open_swe_traces/v1_1/sweagent/qwen36_27b/scale_swe,gs://marin-us-central2/normalized-chat/open_swe_traces/v1_1/sweagent/qwen36_27b/scale_swe_a76e01fc,marin-us-central2/normalized-chat/open_swe_traces/v1_1/sweagent/qwen36_27b/scale_swe_a76e01fc/outputs/main/part-00004-of-00005.parquet,24,5,10
open_swe_traces/v1_1/sweagent/qwen36_27b/swe_rebench_v2,gs://marin-us-central2/normalized-chat/open_swe_traces/v1_1/sweagent/qwen36_27b/swe_rebench_v2_34b0f393,marin-us-central2/normalized-chat/open_swe_traces/v1_1/sweagent/qwen36_27b/swe_rebench_v2_34b0f393/outputs/main/part-00002-of-00004.parquet,34,4,10
open_swe_traces/v1_2/minisweagent/qwen38_27b/scale_swe,gs://marin-us-central2/normalized-chat/open_swe_traces/v1_2/minisweagent/qwen38_27b/scale_swe_43f7a65d,marin-us-central2/normalized-chat/open_swe_traces/v1_2/minisweagent/qwen38_27b/scale_swe_43f7a65d/outputs/main/part-00008-of-00010.parquet,14,10,10
open_swe_traces/v1_2/minisweagent/qwen38_27b/swe_rebench_v2,gs://marin-us-central2/normalized-chat/open_swe_traces/v1_2/minisweagent/qwen38_27b/swe_rebench_v2_c1e82151,marin-us-central2/normalized-chat/open_swe_traces/v1_2/minisweagent/qwen38_27b/swe_rebench_v2_c1e82151/outputs/main/part-00006-of-00011.parquet,1,11,10
openthoughts4-code-glm-5.2-n4,gs://marin-us-central2/normalized-chat/openthoughts4-code-glm-5.2-n4_b8f0f77e,marin-us-central2/normalized-chat/openthoughts4-code-glm-5.2-n4_b8f0f77e/outputs/main/part-00008-of-00009.parquet,0,9,10
penfever-traces/qwen35-122b-131k-opencode/code-contests-noblock,gs://marin-us-central2/normalized-chat/penfever-traces/qwen35-122b-131k-opencode/code-contests-noblock_af367f01,marin-us-central2/normalized-chat/penfever-traces/qwen35-122b-131k-opencode/code-contests-noblock_af367f01/outputs/main/part-00000-of-00001.parquet,2,1,10
penfever-traces/qwen35-122b-131k-opencode/exp_rle_adversarial,gs://marin-us-central2/normalized-chat/penfever-traces/qwen35-122b-131k-opencode/exp_rle_adversarial_2c32d098,marin-us-central2/normalized-chat/penfever-traces/qwen35-122b-131k-opencode/exp_rle_adversarial_2c32d098/outputs/main/part-00000-of-00001.parquet,0,1,10
penfever-traces/qwen35-122b-131k-opencode/exp_rpt_crosscodeeval-csharp-v4,gs://marin-us-central2/normalized-chat/penfever-traces/qwen35-122b-131k-opencode/exp_rpt_crosscodeeval-csharp-v4_7b61ecc9,marin-us-central2/normalized-chat/penfever-traces/qwen35-122b-131k-opencode/exp_rpt_crosscodeeval-csharp-v4_7b61ecc9/outputs/main/part-00000-of-00001.parquet,0,1,10
penfever-traces/qwen35-122b-131k-opencode/exp_rpt_crosscodeeval-java,gs://marin-us-central2/normalized-chat/penfever-traces/qwen35-122b-131k-opencode/exp_rpt_crosscodeeval-java_40a3f709,marin-us-central2/normalized-chat/penfever-traces/qwen35-122b-131k-opencode/exp_rpt_crosscodeeval-java_40a3f709/outputs/main/part-00000-of-00001.parquet,0,1,10
penfever-traces/qwen35-122b-131k-opencode/exp_rpt_curriculum-easy,gs://marin-us-central2/normalized-chat/penfever-traces/qwen35-122b-131k-opencode/exp_rpt_curriculum-easy_2cfc94bb,marin-us-central2/normalized-chat/penfever-traces/qwen35-122b-131k-opencode/exp_rpt_curriculum-easy_2cfc94bb/outputs/main/part-00000-of-00001.parquet,0,1,10
penfever-traces/qwen35-122b-131k-opencode/exp_rpt_curriculum-hard,gs://marin-us-central2/normalized-chat/penfever-traces/qwen35-122b-131k-opencode/exp_rpt_curriculum-hard_b6ae6781,marin-us-central2/normalized-chat/penfever-traces/qwen35-122b-131k-opencode/exp_rpt_curriculum-hard_b6ae6781/outputs/main/part-00000-of-00001.parquet,0,1,10
penfever-traces/qwen35-122b-131k-opencode/exp_rpt_curriculum-medium,gs://marin-us-central2/normalized-chat/penfever-traces/qwen35-122b-131k-opencode/exp_rpt_curriculum-medium_42ebc691,marin-us-central2/normalized-chat/penfever-traces/qwen35-122b-131k-opencode/exp_rpt_curriculum-medium_42ebc691/outputs/main/part-00000-of-00001.parquet,0,1,10
penfever-traces/qwen35-122b-131k-opencode/exp_rpt_e2egit-large,gs://marin-us-central2/normalized-chat/penfever-traces/qwen35-122b-131k-opencode/exp_rpt_e2egit-large_73ecf476,marin-us-central2/normalized-chat/penfever-traces/qwen35-122b-131k-opencode/exp_rpt_e2egit-large_73ecf476/outputs/main/part-00000-of-00001.parquet,0,1,10
penfever-traces/qwen35-122b-131k-opencode/exp_rpt_e2egit-v2,gs://marin-us-central2/normalized-chat/penfever-traces/qwen35-122b-131k-opencode/exp_rpt_e2egit-v2_7626e572,marin-us-central2/normalized-chat/penfever-traces/qwen35-122b-131k-opencode/exp_rpt_e2egit-v2_7626e572/outputs/main/part-00000-of-00001.parquet,0,1,10
penfever-traces/qwen35-122b-131k-opencode/exp_rpt_ghactions-v3,gs://marin-us-central2/normalized-chat/penfever-traces/qwen35-122b-131k-opencode/exp_rpt_ghactions-v3_b78e903e,marin-us-central2/normalized-chat/penfever-traces/qwen35-122b-131k-opencode/exp_rpt_ghactions-v3_b78e903e/outputs/main/part-00000-of-00001.parquet,0,1,10
penfever-traces/qwen35-122b-131k-opencode/exp_rpt_issue,gs://marin-us-central2/normalized-chat/penfever-traces/qwen35-122b-131k-opencode/exp_rpt_issue_ad725ea4,marin-us-central2/normalized-chat/penfever-traces/qwen35-122b-131k-opencode/exp_rpt_issue_ad725ea4/outputs/main/part-00000-of-00001.parquet,0,1,10
penfever-traces/qwen35-122b-131k-opencode/exp_rpt_methods2test-large-v3,gs://marin-us-central2/normalized-chat/penfever-traces/qwen35-122b-131k-opencode/exp_rpt_methods2test-large-v3_55cf79fb,marin-us-central2/normalized-chat/penfever-traces/qwen35-122b-131k-opencode/exp_rpt_methods2test-large-v3_55cf79fb/outputs/main/part-00000-of-00001.parquet,0,1,2
penfever-traces/qwen35-122b-131k-opencode/exp_rpt_multifile,gs://marin-us-central2/normalized-chat/penfever-traces/qwen35-122b-131k-opencode/exp_rpt_multifile_eb641657,marin-us-central2/normalized-chat/penfever-traces/qwen35-122b-131k-opencode/exp_rpt_multifile_eb641657/outputs/main/part-00000-of-00001.parquet,0,1,10
penfever-traces/qwen35-122b-131k-opencode/exp_rpt_nemotron-cpp-v2,gs://marin-us-central2/normalized-chat/penfever-traces/qwen35-122b-131k-opencode/exp_rpt_nemotron-cpp-v2_2e539d1a,marin-us-central2/normalized-chat/penfever-traces/qwen35-122b-131k-opencode/exp_rpt_nemotron-cpp-v2_2e539d1a/outputs/main/part-00000-of-00001.parquet,0,1,10
penfever-traces/qwen35-122b-131k-opencode/exp_rpt_nemotron-junit,gs://marin-us-central2/normalized-chat/penfever-traces/qwen35-122b-131k-opencode/exp_rpt_nemotron-junit_5922ce7e,marin-us-central2/normalized-chat/penfever-traces/qwen35-122b-131k-opencode/exp_rpt_nemotron-junit_5922ce7e/outputs/main/part-00000-of-00001.parquet,0,1,10
penfever-traces/qwen35-122b-131k-opencode/exp_rpt_pr,gs://marin-us-central2/normalized-chat/penfever-traces/qwen35-122b-131k-opencode/exp_rpt_pr_ab860938,marin-us-central2/normalized-chat/penfever-traces/qwen35-122b-131k-opencode/exp_rpt_pr_ab860938/outputs/main/part-00000-of-00001.parquet,0,1,10
penfever-traces/qwen35-122b-131k-opencode/exp_rpt_pymethods2test-large,gs://marin-us-central2/normalized-chat/penfever-traces/qwen35-122b-131k-opencode/exp_rpt_pymethods2test-large_e456c2e4,marin-us-central2/normalized-chat/penfever-traces/qwen35-122b-131k-opencode/exp_rpt_pymethods2test-large_e456c2e4/outputs/main/part-00000-of-00001.parquet,2,1,10
penfever-traces/qwen35-122b-131k-opencode/exp_rpt_pymethods2test-v3,gs://marin-us-central2/normalized-chat/penfever-traces/qwen35-122b-131k-opencode/exp_rpt_pymethods2test-v3_a937cf27,marin-us-central2/normalized-chat/penfever-traces/qwen35-122b-131k-opencode/exp_rpt_pymethods2test-v3_a937cf27/outputs/main/part-00000-of-00001.parquet,0,1,10
penfever-traces/qwen35-122b-131k-opencode/exp_rpt_stack-junit-v6,gs://marin-us-central2/normalized-chat/penfever-traces/qwen35-122b-131k-opencode/exp_rpt_stack-junit-v6_600e2f10,marin-us-central2/normalized-chat/penfever-traces/qwen35-122b-131k-opencode/exp_rpt_stack-junit-v6_600e2f10/outputs/main/part-00000-of-00001.parquet,0,1,6
penfever-traces/qwen35-122b-131k-opencode/exp_rpt_stack-pytest-large,gs://marin-us-central2/normalized-chat/penfever-traces/qwen35-122b-131k-opencode/exp_rpt_stack-pytest-large_50d1ac75,marin-us-central2/normalized-chat/penfever-traces/qwen35-122b-131k-opencode/exp_rpt_stack-pytest-large_50d1ac75/outputs/main/part-00000-of-00001.parquet,0,1,10
penfever-traces/qwen35-122b-131k-opencode/exp_rpt_stack-pytest-v2,gs://marin-us-central2/normalized-chat/penfever-traces/qwen35-122b-131k-opencode/exp_rpt_stack-pytest-v2_37fd12ae,marin-us-central2/normalized-chat/penfever-traces/qwen35-122b-131k-opencode/exp_rpt_stack-pytest-v2_37fd12ae/outputs/main/part-00000-of-00001.parquet,0,1,10
penfever-traces/qwen35-122b-131k-opencode/exp_rpt_unitsyn-python-large,gs://marin-us-central2/normalized-chat/penfever-traces/qwen35-122b-131k-opencode/exp_rpt_unitsyn-python-large_de4792c2,marin-us-central2/normalized-chat/penfever-traces/qwen35-122b-131k-opencode/exp_rpt_unitsyn-python-large_de4792c2/outputs/main/part-00000-of-00001.parquet,0,1,10
penfever-traces/qwen35-122b-131k-opencode/exp_rpt_unitsyn-python-v3,gs://marin-us-central2/normalized-chat/penfever-traces/qwen35-122b-131k-opencode/exp_rpt_unitsyn-python-v3_ad10a723,marin-us-central2/normalized-chat/penfever-traces/qwen35-122b-131k-opencode/exp_rpt_unitsyn-python-v3_ad10a723/outputs/main/part-00000-of-00001.parquet,0,1,10
penfever-traces/qwen35-122b-131k-opencode/inferredbugs-sandboxes-verifier,gs://marin-us-central2/normalized-chat/penfever-traces/qwen35-122b-131k-opencode/inferredbugs-sandboxes-verifier_6bada583,marin-us-central2/normalized-chat/penfever-traces/qwen35-122b-131k-opencode/inferredbugs-sandboxes-verifier_6bada583/outputs/main/part-00000-of-00001.parquet,0,1,10
penfever-traces/qwen35-122b-131k-opencode/llm-verifier-freelancer,gs://marin-us-central2/normalized-chat/penfever-traces/qwen35-122b-131k-opencode/llm-verifier-freelancer_6c44878f,marin-us-central2/normalized-chat/penfever-traces/qwen35-122b-131k-opencode/llm-verifier-freelancer_6c44878f/outputs/main/part-00000-of-00001.parquet,0,1,10
penfever-traces/qwen35-122b-131k-opencode/mix_h4_binary_easy,gs://marin-us-central2/normalized-chat/penfever-traces/qwen35-122b-131k-opencode/mix_h4_binary_easy_334fdc32,marin-us-central2/normalized-chat/penfever-traces/qwen35-122b-131k-opencode/mix_h4_binary_easy_334fdc32/outputs/main/part-00000-of-00001.parquet,0,1,10
penfever-traces/qwen35-122b-131k-opencode/nemotron-code-oracle-filtered,gs://marin-us-central2/normalized-chat/penfever-traces/qwen35-122b-131k-opencode/nemotron-code-oracle-filtered_77abb382,marin-us-central2/normalized-chat/penfever-traces/qwen35-122b-131k-opencode/nemotron-code-oracle-filtered_77abb382/outputs/main/part-00000-of-00001.parquet,0,1,10
penfever-traces/qwen35-122b-131k-opencode/nemotron-gym-agent-calendar,gs://marin-us-central2/normalized-chat/penfever-traces/qwen35-122b-131k-opencode/nemotron-gym-agent-calendar_751eaa64,marin-us-central2/normalized-chat/penfever-traces/qwen35-122b-131k-opencode/nemotron-gym-agent-calendar_751eaa64/outputs/main/part-00000-of-00001.parquet,1,1,10
penfever-traces/qwen35-122b-131k-opencode/nemotron-gym-instruction-following-structured,gs://marin-us-central2/normalized-chat/penfever-traces/qwen35-122b-131k-opencode/nemotron-gym-instruction-following-structured_6dbc9cbb,marin-us-central2/normalized-chat/penfever-traces/qwen35-122b-131k-opencode/nemotron-gym-instruction-following-structured_6dbc9cbb/outputs/main/part-00000-of-00001.parquet,5,1,10
penfever-traces/qwen35-122b-131k-opencode/nemotron-gym-knowledge-web-search-mcqa,gs://marin-us-central2/normalized-chat/penfever-traces/qwen35-122b-131k-opencode/nemotron-gym-knowledge-web-search-mcqa_13811d96,marin-us-central2/normalized-chat/penfever-traces/qwen35-122b-131k-opencode/nemotron-gym-knowledge-web-search-mcqa_13811d96/outputs/main/part-00000-of-00001.parquet,1,1,10
penfever-traces/qwen35-122b-131k-opencode/nemotron-gym-math-advanced-calculations-v3,gs://marin-us-central2/normalized-chat/penfever-traces/qwen35-122b-131k-opencode/nemotron-gym-math-advanced-calculations-v3_5937eefa,marin-us-central2/normalized-chat/penfever-traces/qwen35-122b-131k-opencode/nemotron-gym-math-advanced-calculations-v3_5937eefa/outputs/main/part-00000-of-00001.parquet,2,1,10
penfever-traces/qwen35-122b-131k-opencode/nl2bash-tasks-cleaned-oracle,gs://marin-us-central2/normalized-chat/penfever-traces/qwen35-122b-131k-opencode/nl2bash-tasks-cleaned-oracle_f283cff8,marin-us-central2/normalized-chat/penfever-traces/qwen35-122b-131k-opencode/nl2bash-tasks-cleaned-oracle_f283cff8/outputs/main/part-00000-of-00001.parquet,0,1,10
superior-reasoning,gs://marin-us-central2/normalized-chat/superior-reasoning_12a27924,marin-us-central2/normalized-chat/superior-reasoning_12a27924/outputs/main/part-00015-of-00042.parquet,6,42,10
swe-rebench-openhands,gs://marin-us-central2/normalized-chat/swe-rebench-openhands_bb9a77db,marin-us-central2/normalized-chat/swe-rebench-openhands_bb9a77db/outputs/main/part-00008-of-00015.parquet,2,15,10
swe-zero-12m,gs://marin-us-central2/normalized-chat/swe-zero-12m_042c074a,marin-us-central2/normalized-chat/swe-zero-12m_042c074a/outputs/main/part-00000-of-00004.parquet,1,4,10
synthetic-1,gs://marin-us-central2/normalized-chat/synthetic-1_913f042e,marin-us-central2/normalized-chat/synthetic-1_913f042e/outputs/main/part-00022-of-00033.parquet,1,33,10
synthetic-misconceptions-conversations,gs://marin-us-central2/normalized-chat/synthetic-misconceptions-conversations_18c97908,marin-us-central2/normalized-chat/synthetic-misconceptions-conversations_18c97908/outputs/main/part-00000-of-00001.parquet,0,1,10
ultrachat-persona-conversations,gs://marin-us-central2/normalized-chat/ultrachat-persona-conversations_a529f652,marin-us-central2/normalized-chat/ultrachat-persona-conversations_a529f652/outputs/main/part-00000-of-00002.parquet,4,2,10
wildchat-glm53-format-completions,gs://marin-us-central2/normalized-chat/wildchat-glm53-format-completions_2edd607a,marin-us-central2/normalized-chat/wildchat-glm53-format-completions_2edd607a/outputs/main/part-00000-of-00001.parquet,0,1,10
